type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
landmark,141,CenterBustLeft,True,,15.713512349503752,1358.934898053347,94.97975326687808
landmark,142,CenterBustRight,True,,-37.939363291816214,1373.7715533807798,95.4856349004116
landmark,143,LowerBustLeft,True,,78.92423351855652,1308.3617068526798,81.86664814984667
landmark,144,LowerBustRight,True,,-106.6208803211681,1316.0457011709752,95.45371343143186
landmark,145,Bust30DegreesLeft,True,,28.005036143211747,1329.3906939404985,97.21271226393836
landmark,146,Bust60DegreesLeft,True,,46.58048220866304,1309.1006208602626,94.28421762383502
landmark,147,Bust120DegreesLeft,True,,98.81232328546412,1308.1402297591028,65.32344898512586
landmark,148,Bust150DegreesLeft,True,,121.14515455907714,1328.1177365028284,42.11763645548267
landmark,149,Bust210DegreesLeft,True,,163.23636229560523,1407.5533582992687,14.863863054094857
landmark,150,Bust240DegreesLeft,True,,126.32588173823228,1442.8443997395334,33.40955222672178
landmark,151,Bust300DegreesLeft,True,,20.153340249666407,1471.5180851723846,61.95288367191033
landmark,152,Bust330DegreesLeft,True,,4.620152773938039,1428.523774817283,78.80780733631211
landmark,153,Bust30DegreesRight,True,,-41.96061109852894,1331.6939440585998,101.32021250850386
landmark,154,Bust60DegreesRight,True,,-81.17953052530602,1319.7728377741275,102.37032933571956
landmark,155,Bust120DegreesRight,True,,-129.62718796071974,1319.7451000424342,82.29038245701346
landmark,156,Bust150DegreesRight,True,,-150.68969603837624,1322.6728733963485,57.976697947408454
landmark,157,Bust210DegreesRight,True,,-190.73973044600575,1393.4294762900029,43.070070985700724
landmark,158,Bust240DegreesRight,True,,-163.76128510565007,1448.003153025818,49.383282550864806
